Progress,Duration (in seconds),DistributionChannel,Q_RecaptchaScore,Q89_First Click,Q89_Last Click,Q89_Page Submit,Q89_Click Count,consent,gender,age,race,ethnicity,educ,marstat,employstat,income,pid7,ideo5,religion,religion_important,1_select1,2_select1,3_select1,4_select1,5_select1,6_select1,7_select1,8_select1,9_select1,10_select1,ethnocentrism_1,ethnocentrism_2,ethnocentrism_3,ethnocentrism_4,ethnocentrism_5,monitor1,monitor2,monitor3,imm1,imm2,imm3,govtrust1,govtrust2,govtrust3,govtrust4,electiontrust1,electiontrust2,electiontrust3,choice1_gender1,choice1_gender2,choice1_education1,choice1_education2,choice1_education3,choice1_country1,choice1_country2,choice1_country3,choice1_country4,choice1_country5,choice1_country6,choice1_englishprof1,choice1_englishprof2,choice1_conviction1,choice1_conviction2,choice1_citizen1,choice1_citizen2
Progress,Duration (in seconds),Distribution Channel,Q_RecaptchaScore,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you consent to participating in this research study?,What sex were you assigned at birth?,What is your age?,How would you describe yourself?,"Are you of Hispanic, Latino, or Spanish origin?",What is the highest degree or level of school you have completed?,What is your marital status?,What is your current employment status?,What is your total annual household income?,Do you think of yourself as a,"In general, how would you describe your own political viewpoint?","What is your present religion, if any?",How important is religion in your life?,"${e://Field/choice1_gender1} - The table above shows two hypothetical immigrant profiles. If I told you that one of these two people had committed voter fraud in the last presidential election, select the profile of the one you believe did so.","${e://Field/choice2_gender1} - The table above shows two hypothetical immigrant profiles. If I told you that one of these two people had committed voter fraud in the last presidential election, select the profile of the one you believe did so.","${e://Field/choice3_gender1} - The table above shows two hypothetical immigrant profiles. If I told you that one of these two people had committed voter fraud in the last presidential election, select the profile of the one you believe did so.","${e://Field/choice4_gender1} - The table above shows two hypothetical immigrant profiles. If I told you that one of these two people had committed voter fraud in the last presidential election, select the profile of the one you believe did so.","${e://Field/choice5_gender1} - The table above shows two hypothetical immigrant profiles. If I told you that one of these two people had committed voter fraud in the last presidential election, select the profile of the one you believe did so.","${e://Field/choice6_gender1} - The table above shows two hypothetical immigrant profiles. If I told you that one of these two people had committed voter fraud in the last presidential election, select the profile of the one you believe did so.","${e://Field/choice7_gender1} - The table above shows two hypothetical immigrant profiles. If I told you that one of these two people had committed voter fraud in the last presidential election, select the profile of the one you believe did so.","${e://Field/choice8_gender1} - The table above shows two hypothetical immigrant profiles. If I told you that one of these two people had committed voter fraud in the last presidential election, select the profile of the one you believe did so.","${e://Field/choice9_gender1} - The table above shows two hypothetical immigrant profiles. If I told you that one of these two people had committed voter fraud in the last presidential election, select the profile of the one you believe did so.","${e://Field/choice10_gender1} - The table above shows two hypothetical immigrant profiles. If I told you that one of these two people had committed voter fraud in the last presidential election, select the profile of the one you believe did so.","I would like to know whether you have warm or cold feelings toward well-known groups. Rate each group from zero (0) to one hundred (100). The higher the number, the warmer or more favorably you feel toward the group. - White Americans","I would like to know whether you have warm or cold feelings toward well-known groups. Rate each group from zero (0) to one hundred (100). The higher the number, the warmer or more favorably you feel toward the group. - African Americans","I would like to know whether you have warm or cold feelings toward well-known groups. Rate each group from zero (0) to one hundred (100). The higher the number, the warmer or more favorably you feel toward the group. - Latinx or Hispanic Americans","I would like to know whether you have warm or cold feelings toward well-known groups. Rate each group from zero (0) to one hundred (100). The higher the number, the warmer or more favorably you feel toward the group. - Asian Americans","I would like to know whether you have warm or cold feelings toward well-known groups. Rate each group from zero (0) to one hundred (100). The higher the number, the warmer or more favorably you feel toward the group. - Immigrants","When you’re with other people, how often do you put on a show to impress or
entertain them?",How good or bad of an actor would you be?,"When you are in a group of people, how often are you the center of attention?",Do you think the number of immigrants from foreign countries who are permitted to come to the U.S. to live should be...,Should federal spending on tightening border security to prevent illegal immigration be...,How likely is it that recent immigration levels will take jobs away from people already here?,How much do you trust the federal government to do what is right?,How much do you agree with this statement: The federal government helps people like me.,How much do you agree with this statement: The federal government is transparent.,How much do you agree with this statement: The federal government listens to the public.,How confident are you that election systems in the U.S. are secure from technological threats?,How confident are you that votes cast in person at polling places across the U.S. are counted as voters intend?,How confident are you that votes cast by absentee or mail-in ballot across the U.S. are counted as voters intend?,choice1_gender1,choice1_gender2,choice1_education1,choice1_education2,choice1_education3,choice1_country1,choice1_country2,choice1_country3,choice1_country4,choice1_country5,choice1_country6,choice1_englishprof1,choice1_englishprof2,choice1_conviction1,choice1_conviction2,choice1_citizen1,choice1_citizen2
"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID112_FIRST_CLICK""}","{""ImportId"":""QID112_LAST_CLICK""}","{""ImportId"":""QID112_PAGE_SUBMIT""}","{""ImportId"":""QID112_CLICK_COUNT""}","{""ImportId"":""QID111""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID3""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID11""}","{""ImportId"":""QID10""}","{""ImportId"":""QID9""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""1_QID53""}","{""ImportId"":""2_QID53""}","{""ImportId"":""3_QID53""}","{""ImportId"":""4_QID53""}","{""ImportId"":""5_QID53""}","{""ImportId"":""6_QID53""}","{""ImportId"":""7_QID53""}","{""ImportId"":""8_QID53""}","{""ImportId"":""9_QID53""}","{""ImportId"":""10_QID53""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_3""}","{""ImportId"":""QID27_4""}","{""ImportId"":""QID27_5""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID29""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""choice1_gender1""}","{""ImportId"":""choice1_gender2""}","{""ImportId"":""choice1_education1""}","{""ImportId"":""choice1_education2""}","{""ImportId"":""choice1_education3""}","{""ImportId"":""choice1_country1""}","{""ImportId"":""choice1_country2""}","{""ImportId"":""choice1_country3""}","{""ImportId"":""choice1_country4""}","{""ImportId"":""choice1_country5""}","{""ImportId"":""choice1_country6""}","{""ImportId"":""choice1_englishprof1""}","{""ImportId"":""choice1_englishprof2""}","{""ImportId"":""choice1_conviction1""}","{""ImportId"":""choice1_conviction2""}","{""ImportId"":""choice1_citizen1""}","{""ImportId"":""choice1_citizen2""}"
100,47,preview,1,8.515,44.161,45.235,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,565,email,1,11.335,11.335,12.975,1,1,1,1,1,0,3,1,3,9,6,4,9,1,2,1,1,2,1,1,2,1,1,2,50,50,50,51,40,2,4,2,4,4,2,5,5,4,5,2,2,2,Female,Female,high school diploma,high school diploma,no high school,Germany,Russia,Mexico,India,Russia,Russia,broken English,fluent English,prior conviction (not voting related),no prior conviction,,
100,626,email,1,1.328,3.147,3.653,4,1,0,1,1,0,3,1,2,8,1,1,2,2,2,1,1,1,1,2,2,2,1,1,96,98,97,97,90,3,3,4,3,2,2,2,1,2,2,1,1,2,Female,Female,high school diploma,high school diploma,college degree,Afghanistan,Mexico,Afghanistan,Afghanistan,Russia,Mexico,broken English,fluent English,prior conviction (not voting related),prior conviction (not voting related),,
100,629,email,1,3.599,4.041,4.495,2,1,0,1,1,0,2,1,3,5,1,1,10,4,2,1,2,1,1,1,1,1,1,1,100,100,100,100,100,4,4,4,2,2,3,5,4,4,5,4,1,2,Female,Female,high school diploma,no high school,college degree,Mexico,Afghanistan,Mexico,China,China,India,broken English,fluent English,prior conviction (not voting related),prior conviction (not voting related),,
100,667,email,1,4.551,4.551,5.546,1,1,0,1,1,0,3,1,2,10,1,1,10,1,1,2,1,2,1,2,1,1,2,2,50,50,50,50,50,4,1,3,1,2,1,4,4,4,3,2,2,4,Female,Female,high school diploma,college degree,no high school,India,Russia,Mexico,Mexico,Russia,Germany,broken English,fluent English,no prior conviction,prior conviction (not voting related),,
100,1096,email,1,2.305,4.266,5.426,2,1,0,1,2,0,4,1,2,7,3,2,11,3,2,1,2,2,1,1,1,2,1,1,50,100,80,80,80,1,3,2,3,1,2,4,3,4,3,1,3,3,Male,Male,no high school,no high school,high school diploma,Germany,Afghanistan,Afghanistan,China,China,Mexico,broken English,fluent English,prior conviction (not voting related),prior conviction (not voting related),,
100,1289,email,0.899999976,1.636,3.643,4.397,4,1,1,1,1,0,3,1,3,1,5,3,10,1,2,1,2,1,2,2,1,1,2,2,64,60,62,56,63,4,3,4,3,4,2,4,4,3,1,2,1,2,Female,Female,no high school,college degree,no high school,India,Mexico,China,India,Russia,Russia,broken English,broken English,prior conviction (not voting related),prior conviction (not voting related),,
100,806,email,0.899999976,0.323,1.693,2.274,2,1,1,1,1,0,2,1,2,3,4,3,1,3,1,2,2,1,2,2,2,2,1,1,50,50,50,50,50,2,3,1,4,4,4,5,5,5,5,2,1,1,Male,Male,college degree,high school diploma,high school diploma,Afghanistan,Afghanistan,Afghanistan,India,Mexico,Germany,broken English,broken English,prior conviction (not voting related),no prior conviction,,
