"Duration..in.seconds.","Finished","consent","state","gender","age","pid7","employment_status","employment_type","income","educ","ideo5","race","race_commitment","citizenship","american_commitment","other_commitment","expert_mistrust1","expert_mistrust2","attention_check1","authoritarianism1","authoritarianism2","authoritarianism3","authoritarianism4","ethnocentrism_1","ethnocentrism_2","ethnocentrism_3","ethnocentrism_4","ethnocentrism_5","ethnocentrism_6","stereotype_lazy_1","stereotype_lazy_2","stereotype_lazy_3","stereotype_lazy_4","stereotype_lazy_5","stereotype_lazy_6","stereotype_violent_1","stereotype_violent_2","stereotype_violent_3","stereotype_violent_4","stereotype_violent_5","stereotype_violent_6","stereotype_unintelli_1","stereotype_unintelli_2","stereotype_unintelli_3","stereotype_unintelli_4","stereotype_unintelli_5","stereotype_unintelli_6","egalitarianism1","egalitarianism2","egalitarianism3","attention_check2","monitor1","monitor2","monitor3","anti.elitism1","anti.elitism2","anti.elitism3","attention_check3","mcheck_open","mcheck_closed","persuasion_check","threat_check","diversity1","diversity2","diversity3","diversity4","diversity5","diversity6","MC_cultural1","MC_cultural2","MC_cultural3","MC_cultural4","MC_social1","MC_social2","MC_social3","MC_social4","MC_diversitycons1","MC_diversitycons2","MC_diversitycons3","MC_diversitycons4","MC_equity1","MC_equity2","MC_equity3","MC_equity4","open_ended","respondent_reaction","exp_condition"
598,1,1,5,1,2,5,1,1,4,5,4,2,2,1,3,NA,2,2,72,0,1,1,0,50,80,10,50,40,60,6,7,3,5,4,5,6,7,1,5,5,3,3,2,6,3,4,5,4,4,4,1,1,1,1,1,1,1,5,"People are better off living in their own communities. They can help focus on the issues that impact them the best and not have to worry about others.",3,1,1,2,2,2,2,2,2,2,1,4,3,4,5,1,2,1,1,2,2,5,3,5,4,"It would be fine in my opinion because everyone shares the same experience. You naturally want to be around people who are similar to you, so I don't see a problem with it. I think when separation is forced upon you that it is not right.","I think that the commentary is very idealistic and not realistic. In a utopian society, it would be fine. But there are many ripple effects that I feel it ignores. I think in practice it is not as good as it thinks. ","TreatmentA-SoftSell"
491,1,1,49,1,3,7,2,1,5,6,3,3,5,1,5,NA,5,5,72,1,1,1,1,20,40,40,10,30,40,3,5,5,4,5,5,5,6,5,6,4,5,5,6,5,6,4,5,4,3,2,4,3,3,2,4,3,4,5,"Adélie penguins were first discovered in 1840 by French explorer Jules Dumont d'Urville and named after his wife. They are the smallest penguin species in Antarctica, standing about 70 cm tall and weighing between 3 to 8 kg. They have a black head, back, and throat with white feathers on their bellies, and their distinct feature is the white eye rings surrounding their black irises, resembling the character Pingu.",4,4,4,2,2,4,2,4,4,2,5,4,2,4,2,5,2,4,3,2,2,2,4,4,4,"I think living in a community where most people share similar racial backgrounds could create a sense of belonging, but it might also limit diversity in experiences and perspectives. Diversity, in many ways, enriches a community, fostering a broader understanding and more dynamic interactions.","As for the commentary I read about Adélie penguins, it was fascinating! It highlighted their unique physical traits and their adaptation to the harsh Antarctic environment, which makes them quite remarkable. It was a refreshing piece of information, focusing on something so specific and interesting about nature, without tying it to broader social or cultural issues.","Control"
426,1,1,45,0,2,3,1,1,3,5,2,2,4,1,3,NA,1,3,72,0,0,0,0,50,90,40,30,60,60,3,1,3,5,4,2,4,2,5,5,3,3,4,1,5,6,4,2,2,2,2,1,1,3,2,4,4,2,5,"Everyone benefits from a racially diverse society. ",3,2,1,1,2,1,2,3,4,1,2,3,2,2,4,3,3,2,2,2,3,2,4,3,3,"I think that it would cause these people to have more close minded views on the world and it would cause conflict when they exit these communities and interact with other communities.","I think that it brings up a point that I agree with. It is better to live in a society where diversity is valued.","TreatmentC-ProDiversity"
704,1,1,14,1,3,4,3,NA,2,2,3,2,3,1,3,NA,5,5,72,0,0,0,0,50,70,40,50,40,50,3,1,6,3,3,2,6,2,7,3,3,4,3,2,5,3,3,3,1,1,1,1,1,1,2,5,5,2,5,"It seems that diversity is something of a challenge to the commentator and that I feel that they think that it is better for groups to stay within their own.  I feel that the commentator feels societies are threatened by those who do not belong to one another.",1,1,1,1,1,1,1,5,1,1,1,3,1,3,1,1,1,1,1,1,3,1,1,1,1,"I feel that it is okay and that everyone is different.  As long as we don't push different ideals onto each other, I feel that we all can live in harmony.","I felt that this person was a little disillusioned about living with others of different ethnic origins.  Yes, we all need to embrace ourselves as Americans, but we can also preserve our own ethnic cultures so that we can continue traditions that are fulfilling and educational.  Everyone that has immigrated to the US legally deserves a right and a chance.","TreatmentA-SoftSell"
509,1,1,44,1,2,2,3,NA,4,5,2,2,5,1,3,NA,2,4,72,0,0,0,0,20,100,50,60,40,10,6,1,5,3,4,7,7,2,6,5,3,7,7,1,6,5,6,7,3,2,1,1,2,3,2,4,5,4,5,"Integration of different cultures is good because it helps to enrich people and bring ideas together for progress. ",3,1,1,3,4,2,4,4,5,2,1,2,1,4,3,2,2,4,2,4,4,4,4,4,4,"It would probably be pretty easy for people to get along since there already similar.","I disagree fundamentally because the quality of immigrants is the issue you need people who want to contribute which is not what we get. ","TreatmentC-ProDiversity"
807,1,1,5,1,3,1,2,NA,3,5,1,2,4,1,3,NA,2,4,72,1,0,1,0,70,80,70,70,70,70,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2,2,2,3,1,1,1,1,1,1,1,1,5,3,5,"Trying to integrate different races and cultures does not work. Some cultures are inferior and erode better cultures. To preserve ourselves, we should all live in separate ethno-states. ",2,1,3,1,1,1,1,4,3,2,2,1,1,3,1,1,2,2,2,3,3,1,1,1,1,"It is natural for people with similar racial background to congregate due to familiarity. But, we are still free to intermingle in other spaces if we wish. ","The commentary was very racist and contained a lot of racial dog whistling of 
so-called inferior culture and biology. ","TreatmentB-HardSell"
515,1,1,51,1,3,7,1,1,2,3,5,2,3,1,5,NA,4,5,72,1,1,0,0,30,90,20,50,50,20,5,1,6,4,6,5,5,2,7,4,5,5,5,2,6,4,5,5,5,5,5,1,1,2,2,4,5,4,5,"The commentary was basically saying that multiculturalism and diversity aren't a good thing and that people shouldn't be forced to mesh with cultures outside of their own.",1,3,1,3,2,4,4,5,5,3,3,5,5,5,5,4,5,5,5,5,5,5,4,4,4,"","","TreatmentB-HardSell"
440,1,1,49,1,2,5,1,0,4,6,4,2,4,1,4,NA,3,4,72,0,1,1,0,40,80,50,80,60,60,5,1,4,2,3,4,5,1,4,3,2,5,5,1,4,4,5,6,3,3,3,1,2,4,4,4,4,3,5,"Diversity the act of inclusion is key",3,3,2,4,4,3,3,3,2,3,3,2,3,3,4,2,3,4,2,3,4,2,3,4,3,"It sounds mediocre and boring, but would reaffirm your own strengths and values which is a plus","Poignant approach but can be expanded to reflect the current feelings and trouble of having a diverse culture","TreatmentA-SoftSell"
615,1,1,48,1,1,3,2,1,3,3,3,2,4,1,4,NA,4,4,72,1,0,0,1,70,50,60,70,50,80,5,4,4,5,5,4,4,6,4,3,4,4,5,4,6,3,6,6,3,3,4,1,3,4,3,4,3,4,5,"The passage say that racial diversit doesn’t work and auses somegroups to take ove others. It argus that trying to fix group inequality makesthings worse becase it ignores supposed natural differeces between races. Italso says immigration changes the culturein a bad way. The wrter thinks calling these views racist stops ral talk abou the prblems. They beleve people should liveseparately by race to keep ther way of life.",2,3,3,2,5,3,3,2,3,4,4,4,4,4,2,2,4,3,2,2,2,2,3,4,3,"","","TreatmentB-HardSell"
690,1,1,3,1,4,1,1,1,3,6,2,2,2,1,3,NA,2,4,59,0,1,1,1,40,90,10,40,80,70,3,1,6,4,3,2,5,3,4,3,2,3,3,2,4,3,5,2,2,2,2,1,2,2,2,5,4,2,5,"I believe racial diversity promotes fairness. Diverse groups bring valuable skills and perspectives, enhancing innovation and productivity in workplaces and society. Immigration ensures continued growth in diversity, making it a lasting and beneficial feature of modern societies. Cultural exchange enriches society through exposure to different traditions, arts, and lifestyles. ",3,3,3,2,4,2,3,2,2,2,2,4,2,4,2,1,3,2,2,2,2,4,4,4,4,"I will be comfortable.","It is not new to me, as I have lived in a community of immigrants.","TreatmentC-ProDiversity"
