Duration,Finished,gender,age,pid7,ideo5,race,race_8_TEXT,race_commitment,citizenship,american_commitment,other_commitment,expert_mistrust1,expert_mistrust2,attention_check1,authoritarianism1,authoritarianism2,authoritarianism3,authoritarianism4,ethnocentrism_1,ethnocentrism_2,ethnocentrism_3,ethnocentrism_4,ethnocentrism_5,ethnocentrism_6,stereotype_lazy_1,stereotype_lazy_2,stereotype_lazy_3,stereotype_lazy_4,stereotype_lazy_5,stereotype_lazy_6,stereotype_violent_1,stereotype_violent_2,stereotype_violent_3,stereotype_violent_4,stereotype_violent_5,stereotype_violent_6,stereotype_unintelli_1,stereotype_unintelli_2,stereotype_unintelli_3,stereotype_unintelli_4,stereotype_unintelli_5,stereotype_unintelli_6,egalitarianism1,egalitarianism2,egalitarianism3,attention_check2,monitor1,monitor2,monitor3,anti-elitism1,anti-elitism2,anti-elitism3,attention_check3,mcheck_open,mcheck_closed,diversity1,diversity2,diversity3,diversity4,diversity5,diversity6,MC_cultural1,MC_cultural2,MC_cultural3,MC_cultural4,MC_social1,MC_social2,MC_social3,MC_social4,MC_diversitycons1,MC_diversitycons2,MC_diversitycons3,MC_diversitycons4,MC_equity1,MC_equity2,MC_equity3,MC_equity4,respondent_reaction,exp_condition
473,1,0,1,2,3,7,,1,1,3,,4,4,5,0,0,1,0,100,100,100,100,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,1,1,2,2,3,1,3,4,5,I think it shows how powerful some ads can be,3,2,3,3,3,4,3,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,,Control
600,1,0,1,4,1,7,,3,1,4,,2,5,5,0,0,1,0,100,100,100,100,100,100,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,5,5,5,"Striving towards racial diversity seeks to ensure equitable representation, equitable outcomes, and thus a more equitable society. ",3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,"I am troubled that people, especially within the political science department, would be against racial integration and promotion of racial equity and diversity. ",TreatmentC-ProDiversity
860,1,0,1,1,2,4,,4,1,4,,1,2,5,0,0,1,0,100,100,100,100,100,100,2,2,5,3,4,2,2,2,4,4,4,4,3,2,3,3,3,3,1,1,1,1,1,4,2,3,4,4,5,From what I read I can concur that the commentator feels negatively towards immigration. I understood that they believe people should remain in their own states/countries to preserve that culture.,1,1,1,1,1,1,3,3,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,"I think that racial and ethnic differences should be celebrated. Although some conflict can arise at the start, with time and interaction things will hopefully begin to change.",TreatmentB-HardSell
568,1,0,1,5,4,7,,3,1,4,,4,5,5,1,1,0,1,80,100,100,100,100,20,3,2,2,2,4,3,5,2,5,2,2,6,4,2,5,2,5,5,4,4,4,1,3,2,3,3,2,1,5,Basically that everyone will do better in a society that is more inclusive ,3,2,1,1,2,4,4,3,1,2,2,4,4,2,3,4,2,3,4,3,3,3,3,,TreatmentC-ProDiversity
471,1,0,1,3,2,7,,1,1,2,,2,4,5,0,0,1,0,80,80,80,40,80,80,2,2,2,5,2,2,2,2,2,5,2,2,2,2,2,5,2,2,2,2,2,1,3,3,3,4,3,4,4,"Some groups are more powerful than others. Racial diversity will grow, there is natural separation between communities.  ",1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,TreatmentA-SoftSell
553,1,0,1,4,3,7,,1,1,3,,2,4,5,0,0,1,0,100,100,100,60,100,100,1,1,1,2,1,1,3,2,4,4,1,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,1,5,Everyone should be kept in their own groups to protect culture. It’s becoming a growing concern with the increase in immigration,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,3,1,1,1,1,I was shocked they suggested keeping us separate to protect culture. ,TreatmentB-HardSell
1048,1,1,1,3,3,3,,5,1,3,,2,4,5,1,1,0,1,80,80,100,80,80,80,3,2,2,4,3,1,3,3,5,3,2,4,3,2,5,3,3,4,1,2,2,1,1,2,2,2,3,4,5,"Adélie penguins were discovered by a Frenchman who named them after his wife. They are small, only standing at around 2 feet tall and weighing between 6 and 18 pounds. Their features are very similar to the cartoon character Pingu.",4,2,1,1,1,3,2,3,1,1,1,2,1,1,1,1,3,1,3,1,1,2,2,I was a bit thrown off considering the commentary I read and then questions I had before and after the commentary were not related to penguins at all.,Control
920,1,1,1,3,4,7,,1,1,3,,2,2,4,0,0,1,0,60,90,70,90,80,80,2,1,3,2,2,1,6,1,5,3,2,4,5,2,6,5,3,4,2,1,2,1,3,2,2,2,4,2,5,"Adelie penguins are a species of small penguins with notable features such as flack coats, white bellies, and white irises.",4,2,2,1,1,3,3,2,2,4,2,4,2,1,1,5,4,5,2,1,1,1,1,,Control
1077,1,0,1,5,3,7,,3,1,4,,2,5,5,0,0,1,0,100,100,100,100,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,2,3,4,3,5,Key points I thought were that we need to address racism/xenopheniba and if we do not it will persistent ,3,1,1,1,1,1,2,1,1,3,1,1,1,1,3,1,1,2,3,1,1,1,1,,TreatmentB-HardSell
1264,1,0,1,1,1,7,,2,1,3,,2,4,5,0,0,1,0,80,70,90,80,80,80,2,2,1,3,2,1,3,3,3,5,3,5,3,3,2,2,3,2,1,2,1,1,2,5,2,1,5,3,5,The commentary emphasized an inclusive society. It stated that we are better off when we embrace all cultures and make an effort to include everyone,3,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,I agreed with it!,TreatmentC-ProDiversity
